Patient Id,Patient Gender,Patient Age,Department Referral,Patient Waittime,Arrival_Time,Day_of_Week,Emergency_Case_Type,Triage_Level,Queue_Length,Doctors_Available,Nurses_Available,Gender_Code,Day_Code,Emergency_Type_Code,Department_Code
101-60-5189,F,45,Orthopedics,14,15:13,Saturday,Fracture,3,16,9,13,1,6,4,4
899-55-9031,F,31,Orthopedics,16,00:28,Saturday,Fracture,3,14,7,11,1,6,4,4
778-65-4673,F,13,Burn Unit,30,01:45,Tuesday,Burn Injury,3,18,3,9,1,2,5,6
248-18-0030,F,7,OB/GYN,12,00:40,Wednesday,Pregnancy Complication,2,7,10,5,1,3,12,6
811-98-4727,F,58,General Surgery,13,23:20,Friday,Abdominal Pain,3,7,3,11,1,5,9,6
111-52-9197,F,64,Neurology,2,03:18,Thursday,Stroke,1,25,9,10,1,4,2,2
245-85-4529,F,11,Cardiology,12,08:39,Thursday,Heart Attack,1,7,3,14,1,4,1,1
522-70-1823,F,10,General Medicine,43,15:47,Monday,Fever,4,12,8,6,1,1,10,5
695-96-3195,F,45,Pulmonology,11,05:30,Friday,Breathing Problem,2,8,4,13,1,5,6,6
881-39-8203,F,77,General Surgery,21,13:00,Friday,Abdominal Pain,3,10,4,6,1,5,9,6
665-57-2100,F,72,General Medicine,67,04:45,Saturday,Fever,4,21,6,8,1,6,10,5
669-85-1884,F,11,Trauma,10,04:56,Wednesday,Accident,2,25,5,8,1,3,3,6
688-42-3225,F,49,General Surgery,15,09:51,Tuesday,Abdominal Pain,3,8,6,5,1,2,9,6
314-15-4273,F,1,OB/GYN,9,14:37,Sunday,Pregnancy Complication,2,16,7,12,1,7,12,6
104-41-1688,F,22,Burn Unit,14,09:41,Wednesday,Burn Injury,3,12,9,12,1,3,5,6
816-27-9410,F,4,Trauma,15,05:26,Tuesday,Accident,2,7,10,6,1,2,3,6
335-18-8563,F,36,Pulmonology,13,06:07,Saturday,Breathing Problem,2,21,8,14,1,6,6,6
347-87-0017,F,73,General Medicine,28,05:20,Saturday,Fever,4,5,3,13,1,6,10,5
153-06-0149,F,4,Cardiology,14,11:26,Wednesday,Chest Pain,2,16,9,12,1,3,7,1
820-78-6035,F,28,Cardiology,10,09:02,Tuesday,Heart Attack,1,11,8,11,1,2,1,1
686-76-3824,F,51,General,29,08:09,Monday,Allergic Reaction,3,21,7,6,1,1,8,6
190-62-3939,F,15,Orthopedics,39,05:48,Friday,Fracture,3,25,7,6,1,5,4,4
695-82-0712,F,75,Cardiology,8,12:16,Tuesday,Heart Attack,1,8,6,7,1,2,1,1
728-85-5305,F,22,Orthopedics,23,02:00,Wednesday,Fracture,3,15,3,10,1,3,4,4
745-85-7922,F,46,General,18,01:35,Tuesday,Allergic Reaction,3,17,8,14,1,2,8,6
607-81-6711,F,8,Orthopedics,30,00:52,Sunday,Fracture,3,15,3,8,1,7,4,4
775-92-7178,F,17,Pulmonology,4,20:08,Saturday,Breathing Problem,2,11,7,12,1,6,6,6
886-57-1192,F,7,OB/GYN,2,08:04,Sunday,Pregnancy Complication,2,11,4,13,1,7,12,6
685-87-5099,F,22,Pulmonology,9,20:00,Monday,Breathing Problem,2,13,6,11,1,1,6,6
278-16-0978,F,61,Burn Unit,28,21:10,Wednesday,Burn Injury,3,24,10,9,1,3,5,6
778-84-9008,F,7,Burn Unit,45,06:22,Wednesday,Burn Injury,3,25,6,5,1,3,5,6
382-31-9718,F,46,Trauma,11,10:31,Saturday,Accident,2,21,5,7,1,6,3,6
801-07-7339,F,9,Trauma,14,21:12,Monday,Accident,2,8,8,13,1,1,3,6
625-89-1102,F,18,Trauma,8,02:28,Wednesday,Accident,2,25,5,8,1,3,3,6
838-81-9021,F,22,Pulmonology,8,05:41,Monday,Breathing Problem,2,13,3,10,1,1,6,6
839-41-1835,F,7,General,21,13:22,Friday,Allergic Reaction,3,18,6,10,1,5,8,6
729-89-2202,F,74,Cardiology,15,02:45,Monday,Chest Pain,2,13,6,15,1,1,7,1
202-25-2915,F,43,General Surgery,10,20:35,Sunday,Abdominal Pain,3,8,6,9,1,7,9,6
273-14-8894,F,55,Orthopedics,11,08:51,Saturday,Fracture,3,13,7,14,1,6,4,4
746-23-4827,F,6,OB/GYN,8,22:06,Saturday,Pregnancy Complication,2,5,8,8,1,6,12,6
733-12-3253,F,53,General,13,17:00,Wednesday,Allergic Reaction,3,9,8,11,1,3,8,6
343-57-5815,F,51,General Surgery,15,12:38,Saturday,Abdominal Pain,3,8,6,8,1,6,9,6
630-94-7356,F,72,Cardiology,12,00:08,Wednesday,Heart Attack,1,24,4,5,1,3,1,1
794-82-3847,F,60,Burn Unit,31,16:08,Tuesday,Burn Injury,3,19,5,6,1,2,5,6
316-13-4077,F,3,Neurology,8,14:19,Saturday,Stroke,1,23,5,6,1,6,2,2
886-03-1751,F,41,General Medicine,64,06:07,Wednesday,Fever,4,25,4,13,1,3,10,5
893-49-5294,F,69,Trauma,9,17:52,Friday,Accident,2,18,5,13,1,5,3,6
315-63-4355,F,72,General,17,13:53,Friday,Allergic Reaction,3,21,8,14,1,5,8,6
187-74-1267,F,3,General Medicine,27,16:28,Sunday,Fever,4,8,7,9,1,7,10,5
293-46-1362,F,16,Trauma,4,13:42,Wednesday,Accident,2,20,10,7,1,3,3,6
250-32-3822,F,27,Trauma,3,22:59,Tuesday,Accident,2,21,7,8,1,2,3,6
157-96-7378,F,47,Orthopedics,15,07:12,Saturday,Fracture,3,14,9,10,1,6,4,4
415-66-4951,F,67,Trauma,4,11:06,Tuesday,Accident,2,22,7,7,1,2,3,6
844-81-6009,F,43,General,13,17:24,Wednesday,Allergic Reaction,3,13,10,14,1,3,8,6
579-48-1437,F,9,Orthopedics,8,13:25,Tuesday,Fracture,3,8,5,13,1,2,4,4
607-93-7414,F,49,Pulmonology,8,07:07,Monday,Breathing Problem,2,19,7,12,1,1,6,6
100-04-3993,F,29,OB/GYN,14,17:16,Tuesday,Pregnancy Complication,2,6,9,5,1,2,12,6
545-72-4306,F,2,General Surgery,15,19:18,Friday,Abdominal Pain,3,13,10,7,1,5,9,6
649-31-1998,F,63,Neurology,4,20:40,Tuesday,Stroke,1,14,4,8,1,2,2,2
685-99-9934,F,18,Trauma,10,23:10,Tuesday,Accident,2,22,8,7,1,2,3,6
604-72-2115,F,32,Cardiology,4,06:31,Thursday,Heart Attack,1,21,4,8,1,4,1,1
466-62-5683,F,61,Orthopedics,15,12:20,Thursday,Fracture,3,17,9,15,1,4,4,4
686-87-6613,F,75,Neurology,11,04:00,Saturday,Stroke,1,6,7,15,1,6,2,2
206-19-3396,F,32,Cardiology,14,04:40,Friday,Heart Attack,1,23,5,5,1,5,1,1
267-55-1101,F,10,General Surgery,22,11:55,Thursday,Abdominal Pain,3,19,8,11,1,4,9,6
146-48-1270,F,23,Cardiology,15,11:15,Saturday,Chest Pain,2,12,7,7,1,6,7,1
363-91-7135,F,51,Trauma,9,23:02,Wednesday,Accident,2,25,5,15,1,3,3,6
806-43-1330,F,72,OB/GYN,8,16:41,Monday,Pregnancy Complication,2,17,6,14,1,1,12,6
393-31-6473,F,30,Pulmonology,9,00:52,Friday,Breathing Problem,2,18,3,13,1,5,6,6
781-31-2173,F,60,Trauma,13,08:44,Thursday,Accident,2,6,3,14,1,4,3,6
860-64-5355,F,18,General Medicine,21,21:03,Friday,Fever,4,7,9,11,1,5,10,5
622-90-4135,F,25,OB/GYN,10,20:10,Monday,Pregnancy Complication,2,25,6,11,1,1,12,6
701-32-1463,F,67,Cardiology,14,22:58,Saturday,Heart Attack,1,5,7,9,1,6,1,1
621-92-0440,F,15,Pulmonology,10,20:50,Friday,Breathing Problem,2,20,10,12,1,5,6,6
110-73-7294,F,63,Trauma,4,18:19,Sunday,Accident,2,17,8,13,1,7,3,6
802-43-8558,F,57,OB/GYN,3,06:56,Monday,Pregnancy Complication,2,21,8,6,1,1,12,6
451-83-4132,F,22,Pulmonology,12,14:55,Saturday,Breathing Problem,2,9,4,12,1,6,6,6
760-69-8796,F,74,General Medicine,51,14:06,Wednesday,Fever,4,20,10,11,1,3,10,5
370-75-6636,F,4,Pulmonology,3,12:53,Sunday,Breathing Problem,2,21,3,14,1,7,6,6
372-60-0704,F,37,Pulmonology,14,13:11,Friday,Breathing Problem,2,13,4,12,1,5,6,6
466-80-6058,F,27,Burn Unit,28,03:56,Sunday,Burn Injury,3,15,7,5,1,7,5,6
218-23-7747,F,27,OB/GYN,14,23:01,Sunday,Pregnancy Complication,2,10,9,8,1,7,12,6
392-38-0122,F,64,General Surgery,32,17:44,Wednesday,Abdominal Pain,3,24,10,5,1,3,9,6
890-11-8619,F,43,Cardiology,8,15:14,Tuesday,Chest Pain,2,7,7,7,1,2,7,1
742-08-0457,F,5,Burn Unit,10,11:10,Friday,Burn Injury,3,5,4,13,1,5,5,6
448-67-4574,F,41,General Medicine,34,21:59,Monday,Fever,4,11,8,13,1,1,10,5
389-45-4781,F,24,Trauma,15,22:09,Saturday,Accident,2,6,6,11,1,6,3,6
372-42-1419,F,25,Cardiology,13,18:20,Sunday,Chest Pain,2,8,9,9,1,7,7,1
786-79-3778,F,69,Cardiology,12,00:35,Friday,Heart Attack,1,14,10,8,1,5,1,1
839-32-4736,F,35,OB/GYN,15,21:27,Monday,Pregnancy Complication,2,10,5,8,1,1,12,6
616-29-5551,F,22,General Surgery,25,13:06,Saturday,Abdominal Pain,3,20,7,10,1,6,9,6
389-33-9944,F,65,Orthopedics,9,23:42,Sunday,Fracture,3,10,9,13,1,7,4,4
170-78-1385,F,30,General Surgery,27,06:08,Sunday,Abdominal Pain,3,24,7,12,1,7,9,6
850-70-6234,F,66,Orthopedics,30,15:06,Sunday,Fracture,3,20,7,7,1,7,4,4
529-82-7621,F,44,Cardiology,2,16:06,Friday,Heart Attack,1,14,8,5,1,5,1,1
151-32-6273,F,62,General Surgery,6,21:50,Wednesday,Abdominal Pain,3,5,3,15,1,3,9,6
713-59-1709,F,33,Pulmonology,5,04:22,Wednesday,Breathing Problem,2,20,3,9,1,3,6,6
208-57-1411,F,75,General Medicine,54,06:45,Saturday,Fever,4,25,9,14,1,6,10,5
202-31-8321,F,51,Cardiology,2,14:00,Friday,Chest Pain,2,13,9,15,1,5,7,1
108-45-7414,F,34,Cardiology,11,12:25,Tuesday,Chest Pain,2,23,10,13,1,2,7,1
615-10-6038,F,52,Burn Unit,12,06:34,Monday,Burn Injury,3,14,8,13,1,1,5,6
843-63-4258,F,35,General Medicine,34,22:50,Monday,Fever,4,7,3,12,1,1,10,5
378-50-4904,F,2,Trauma,3,02:06,Friday,Accident,2,18,3,11,1,5,3,6
255-19-2946,F,59,Cardiology,10,20:00,Wednesday,Chest Pain,2,15,10,5,1,3,7,1
730-33-4575,F,44,Trauma,8,13:52,Thursday,Accident,2,18,6,7,1,4,3,6
765-93-0785,F,11,General Medicine,27,12:43,Thursday,Fever,4,8,5,11,1,4,10,5
606-24-1350,F,54,Pulmonology,8,13:06,Tuesday,Breathing Problem,2,21,6,6,1,2,6,6
692-37-6345,F,15,Cardiology,15,21:10,Thursday,Chest Pain,2,24,5,13,1,4,7,1
215-53-0351,F,55,General,22,22:41,Tuesday,Allergic Reaction,3,11,3,9,1,2,8,6
405-62-2584,F,7,OB/GYN,12,23:07,Saturday,Pregnancy Complication,2,9,4,5,1,6,12,6
573-36-8002,F,8,Trauma,15,23:03,Monday,Accident,2,18,10,11,1,1,3,6
140-51-8841,F,16,Orthopedics,17,21:57,Wednesday,Fracture,3,15,8,11,1,3,4,4
154-15-2617,F,50,Cardiology,10,08:36,Thursday,Heart Attack,1,5,7,7,1,4,1,1
837-47-2662,F,27,Trauma,5,15:08,Tuesday,Accident,2,23,6,12,1,2,3,6
896-98-1041,F,12,General Surgery,16,05:34,Sunday,Abdominal Pain,3,11,9,9,1,7,9,6
683-01-7970,F,3,Pulmonology,3,01:01,Sunday,Breathing Problem,2,8,9,13,1,7,6,6
433-13-6881,F,63,Pulmonology,2,08:06,Saturday,Breathing Problem,2,5,10,14,1,6,6,6
367-87-1289,F,9,Cardiology,14,21:14,Monday,Chest Pain,2,11,9,6,1,1,7,1
750-23-2793,F,34,General,29,10:28,Friday,Allergic Reaction,3,21,4,9,1,5,8,6
192-34-8866,F,63,Cardiology,6,12:37,Tuesday,Heart Attack,1,21,4,8,1,2,1,1
261-16-1672,F,55,Trauma,6,05:52,Monday,Accident,2,22,7,10,1,1,3,6
674-12-8997,F,18,General Surgery,22,11:30,Sunday,Abdominal Pain,3,18,10,5,1,7,9,6
611-56-4055,F,22,Cardiology,13,08:47,Sunday,Heart Attack,1,7,3,10,1,7,1,1
168-08-3622,F,72,General Surgery,15,06:50,Thursday,Abdominal Pain,3,15,9,14,1,4,9,6
525-26-1951,F,2,Trauma,5,14:29,Monday,Accident,2,16,4,11,1,1,3,6
233-10-7135,F,24,Pulmonology,12,06:16,Thursday,Breathing Problem,2,11,3,10,1,4,6,6
318-26-1414,F,27,General Surgery,21,09:32,Monday,Abdominal Pain,3,14,6,6,1,1,9,6
790-73-9010,F,15,Orthopedics,11,16:17,Wednesday,Fracture,3,8,7,9,1,3,4,4
304-16-6136,F,52,OB/GYN,11,12:38,Saturday,Pregnancy Complication,2,19,6,11,1,6,12,6
370-63-2061,F,53,Cardiology,10,21:07,Saturday,Chest Pain,2,23,4,6,1,6,7,1
135-81-4176,F,22,Trauma,11,23:27,Wednesday,Accident,2,11,10,13,1,3,3,6
727-03-0231,F,53,OB/GYN,7,11:18,Wednesday,Pregnancy Complication,2,10,4,10,1,3,12,6
167-98-2758,F,10,General Surgery,31,19:42,Tuesday,Abdominal Pain,3,25,5,11,1,2,9,6
473-28-7174,F,47,General,24,00:14,Wednesday,Allergic Reaction,3,20,8,11,1,3,8,6
277-12-6417,F,66,OB/GYN,15,13:09,Friday,Pregnancy Complication,2,25,5,10,1,5,12,6
371-39-0855,F,15,Cardiology,3,23:45,Monday,Chest Pain,2,22,7,8,1,1,7,1
438-38-9392,F,70,Cardiology,14,14:21,Saturday,Chest Pain,2,8,9,8,1,6,7,1
648-60-8938,F,79,Cardiology,7,18:04,Thursday,Chest Pain,2,19,9,9,1,4,7,1
310-05-1868,F,12,Neurology,10,00:50,Saturday,Stroke,1,11,9,7,1,6,2,2
210-50-1801,F,76,Pulmonology,9,18:07,Thursday,Breathing Problem,2,16,7,10,1,4,6,6
110-38-1118,F,45,Neurology,4,23:26,Wednesday,Stroke,1,6,9,5,1,3,2,2
330-88-2389,F,73,Orthopedics,18,06:23,Sunday,Fracture,3,8,5,5,1,7,4,4
261-65-5742,F,77,Orthopedics,16,00:13,Friday,Fracture,3,16,4,14,1,5,4,4
561-56-3940,F,16,Trauma,15,16:29,Monday,Accident,2,13,8,5,1,1,3,6
174-22-5046,F,29,Pulmonology,9,16:48,Sunday,Breathing Problem,2,21,7,12,1,7,6,6
419-41-5696,F,74,Trauma,3,00:17,Friday,Accident,2,10,9,5,1,5,3,6
180-76-2943,F,1,Trauma,3,02:20,Saturday,Accident,2,22,5,8,1,6,3,6
559-71-3169,F,13,Trauma,3,06:18,Tuesday,Accident,2,8,4,13,1,2,3,6
852-82-9914,F,41,Cardiology,7,03:38,Monday,Chest Pain,2,22,8,8,1,1,7,1
657-61-2319,F,77,OB/GYN,9,20:07,Sunday,Pregnancy Complication,2,10,7,6,1,7,12,6
738-82-3669,F,79,Cardiology,14,20:35,Friday,Heart Attack,1,14,4,11,1,5,1,1
600-74-3535,F,9,General Medicine,43,20:32,Tuesday,Fever,4,12,6,11,1,2,10,5
200-22-2878,F,57,OB/GYN,7,04:18,Tuesday,Pregnancy Complication,2,16,3,15,1,2,12,6
891-62-7156,F,75,General Medicine,35,03:27,Saturday,Fever,4,10,7,11,1,6,10,5
191-27-8899,F,34,OB/GYN,12,07:45,Wednesday,Pregnancy Complication,2,5,6,11,1,3,12,6
278-69-7509,F,53,Pulmonology,13,06:15,Friday,Breathing Problem,2,6,4,7,1,5,6,6
637-94-0312,F,59,General Medicine,49,02:31,Thursday,Fever,4,20,8,11,1,4,10,5
651-85-3281,F,24,Orthopedics,16,14:52,Tuesday,Fracture,3,10,6,9,1,2,4,4
299-88-9999,F,63,Trauma,9,01:56,Monday,Accident,2,16,10,9,1,1,3,6
600-63-1753,F,24,Neurology,9,03:29,Tuesday,Stroke,1,6,8,8,1,2,2,2
705-90-0854,F,69,General Medicine,33,01:31,Friday,Fever,4,9,4,9,1,5,10,5
881-42-6523,F,44,General Surgery,31,23:23,Sunday,Abdominal Pain,3,25,6,11,1,7,9,6
712-65-0532,F,68,Cardiology,14,13:30,Tuesday,Heart Attack,1,25,6,9,1,2,1,1
285-35-2292,F,36,Orthopedics,8,19:38,Tuesday,Fracture,3,5,10,9,1,2,4,4
405-64-0256,F,64,General,13,00:52,Sunday,Allergic Reaction,3,7,5,11,1,7,8,6
795-63-6602,F,14,Cardiology,14,18:58,Saturday,Heart Attack,1,10,4,7,1,6,1,1
724-76-3876,F,43,General Medicine,108,00:33,Wednesday,Fever,4,25,4,6,1,3,10,5
788-52-8242,F,48,Pulmonology,8,14:39,Saturday,Breathing Problem,2,12,8,13,1,6,6,6
331-63-7662,F,62,Orthopedics,4,17:46,Thursday,Fracture,3,5,10,14,1,4,4,4
542-32-4303,F,41,General,17,00:00,Wednesday,Allergic Reaction,3,13,4,12,1,3,8,6
681-60-5890,F,18,Cardiology,14,11:12,Thursday,Heart Attack,1,13,4,7,1,4,1,1
205-32-4024,F,61,Pulmonology,11,01:38,Thursday,Breathing Problem,2,24,9,10,1,4,6,6
714-04-8028,F,53,Pulmonology,3,10:13,Tuesday,Breathing Problem,2,12,8,5,1,2,6,6
522-98-0828,F,7,Orthopedics,34,04:40,Tuesday,Fracture,3,25,4,11,1,2,4,4
389-02-6025,F,18,General Medicine,42,06:41,Monday,Fever,4,11,6,10,1,1,10,5
536-37-9223,F,42,Pulmonology,5,09:45,Wednesday,Breathing Problem,2,20,5,7,1,3,6,6
309-58-3156,F,69,Orthopedics,21,19:17,Sunday,Fracture,3,20,8,14,1,7,4,4
219-41-5143,F,53,Trauma,7,20:29,Sunday,Accident,2,18,6,13,1,7,3,6
507-18-9945,F,53,General Surgery,28,00:24,Wednesday,Abdominal Pain,3,18,9,5,1,3,9,6
518-59-9140,F,74,Burn Unit,13,17:34,Sunday,Burn Injury,3,16,10,12,1,7,5,6
887-81-0302,F,27,Trauma,4,11:16,Tuesday,Accident,2,24,10,7,1,2,3,6
478-28-3152,F,69,Cardiology,5,17:02,Saturday,Chest Pain,2,15,10,9,1,6,7,1
762-48-6422,F,60,Pulmonology,2,14:24,Thursday,Breathing Problem,2,14,3,10,1,4,6,6
849-50-0138,F,22,Neurology,9,01:49,Tuesday,Stroke,1,12,5,7,1,2,2,2
508-47-0601,F,60,OB/GYN,14,13:18,Sunday,Pregnancy Complication,2,12,6,15,1,7,12,6
259-14-9232,F,26,Orthopedics,5,01:06,Saturday,Fracture,3,7,8,15,1,6,4,4
152-65-5703,F,72,Burn Unit,24,06:06,Tuesday,Burn Injury,3,18,8,6,1,2,5,6
654-74-6226,F,45,OB/GYN,8,18:04,Sunday,Pregnancy Complication,2,23,8,15,1,7,12,6
864-39-8168,F,67,OB/GYN,14,23:09,Tuesday,Pregnancy Complication,2,24,8,8,1,2,12,6
672-03-7924,F,26,Cardiology,11,18:56,Thursday,Chest Pain,2,24,5,11,1,4,7,1
171-47-9048,F,67,Trauma,4,13:41,Tuesday,Accident,2,21,8,6,1,2,3,6
704-26-0836,F,32,General Medicine,50,05:25,Friday,Fever,4,19,8,9,1,5,10,5
277-99-9308,F,67,Orthopedics,13,00:40,Monday,Fracture,3,9,8,13,1,1,4,4
811-38-7866,F,7,General Medicine,59,14:57,Saturday,Fever,4,23,3,15,1,6,10,5
625-37-2390,F,60,Cardiology,13,06:26,Tuesday,Heart Attack,1,14,6,15,1,2,1,1
781-73-2733,F,65,General Medicine,25,00:19,Friday,Fever,4,10,5,15,1,5,10,5
224-04-4489,F,39,Orthopedics,32,23:30,Tuesday,Fracture,3,14,4,5,1,2,4,4
113-47-3396,F,42,General,28,02:14,Wednesday,Allergic Reaction,3,17,5,7,1,3,8,6
695-76-1933,F,66,Cardiology,7,21:45,Monday,Heart Attack,1,14,10,11,1,1,1,1
857-38-9352,F,13,General,28,13:58,Friday,Allergic Reaction,3,24,7,9,1,5,8,6
169-34-3725,F,62,Cardiology,2,03:55,Wednesday,Chest Pain,2,5,4,7,1,3,7,1
487-63-8783,F,73,General Medicine,91,22:23,Friday,Fever,4,24,4,8,1,5,10,5
678-73-4267,F,1,General Medicine,33,14:06,Thursday,Fever,4,13,7,13,1,4,10,5
465-84-4385,F,18,Neurology,7,13:52,Tuesday,Stroke,1,8,9,10,1,2,2,2
576-08-7899,F,72,General,17,20:15,Friday,Allergic Reaction,3,9,5,9,1,5,8,6
358-91-0735,F,63,General Surgery,20,13:58,Friday,Abdominal Pain,3,12,7,5,1,5,9,6
100-84-7203,F,37,Orthopedics,21,02:24,Thursday,Fracture,3,24,8,13,1,4,4,4
777-20-5908,F,55,Burn Unit,12,06:55,Thursday,Burn Injury,3,6,3,12,1,4,5,6
361-75-8418,F,34,OB/GYN,10,19:44,Tuesday,Pregnancy Complication,2,18,9,6,1,2,12,6
580-75-8753,F,71,Orthopedics,28,03:45,Monday,Fracture,3,25,3,14,1,1,4,4
515-64-2739,F,60,Neurology,11,20:37,Friday,Stroke,1,8,6,7,1,5,2,2
251-41-9778,F,36,General Medicine,38,05:57,Saturday,Fever,4,18,10,12,1,6,10,5
890-16-9208,F,73,Cardiology,5,14:39,Monday,Chest Pain,2,8,9,5,1,1,7,1
825-75-2269,F,42,General Medicine,38,20:04,Thursday,Fever,4,11,9,5,1,4,10,5
201-35-2507,F,57,General,15,13:23,Thursday,Allergic Reaction,3,11,6,13,1,4,8,6
131-81-9850,F,54,OB/GYN,8,02:36,Thursday,Pregnancy Complication,2,14,10,6,1,4,12,6
404-55-4051,F,19,Neurology,10,03:37,Saturday,Stroke,1,6,5,10,1,6,2,2
711-41-6622,F,23,Pulmonology,2,03:17,Thursday,Breathing Problem,2,15,4,6,1,4,6,6
156-45-0074,F,76,Orthopedics,16,18:20,Saturday,Fracture,3,12,6,13,1,6,4,4
220-78-7254,F,11,OB/GYN,3,03:22,Wednesday,Pregnancy Complication,2,17,5,7,1,3,12,6
672-52-6379,F,19,General Surgery,27,01:51,Tuesday,Abdominal Pain,3,18,6,9,1,2,9,6
789-37-2567,F,49,Cardiology,6,13:26,Friday,Chest Pain,2,9,8,14,1,5,7,1
174-20-1756,F,32,Cardiology,7,07:03,Monday,Heart Attack,1,12,6,15,1,1,1,1
279-48-0099,F,15,General Surgery,18,21:13,Friday,Abdominal Pain,3,22,9,14,1,5,9,6
898-70-4805,F,27,Neurology,2,02:03,Thursday,Stroke,1,18,9,12,1,4,2,2
467-58-7994,F,61,OB/GYN,2,06:19,Thursday,Pregnancy Complication,2,10,9,6,1,4,12,6
365-52-7650,F,68,General Medicine,88,09:28,Sunday,Fever,4,24,5,7,1,7,10,5
641-52-3173,F,37,General Surgery,11,07:59,Tuesday,Abdominal Pain,3,6,3,12,1,2,9,6
692-89-7681,F,24,Cardiology,12,18:04,Friday,Heart Attack,1,19,6,6,1,5,1,1
252-05-5600,F,12,General Medicine,61,21:08,Saturday,Fever,4,23,5,14,1,6,10,5
726-37-1120,F,41,Cardiology,8,16:18,Saturday,Heart Attack,1,23,10,7,1,6,1,1
524-87-1820,F,56,General,14,22:11,Thursday,Allergic Reaction,3,10,7,14,1,4,8,6
535-36-0130,F,50,Cardiology,2,03:22,Friday,Chest Pain,2,22,5,11,1,5,7,1
140-37-0074,F,33,OB/GYN,10,06:20,Sunday,Pregnancy Complication,2,16,3,12,1,7,12,6
586-32-2671,F,41,General,20,21:14,Sunday,Allergic Reaction,3,16,4,12,1,7,8,6
441-35-9026,F,73,Neurology,10,12:15,Friday,Stroke,1,7,3,11,1,5,2,2
499-12-6236,F,69,Orthopedics,19,03:27,Monday,Fracture,3,18,7,12,1,1,4,4
216-39-5937,F,1,General,10,02:17,Sunday,Allergic Reaction,3,6,6,12,1,7,8,6
198-94-3682,F,55,General Surgery,18,04:01,Wednesday,Abdominal Pain,3,9,4,7,1,3,9,6
647-22-2299,F,42,General Surgery,29,02:48,Wednesday,Abdominal Pain,3,24,9,7,1,3,9,6
424-19-6464,F,32,Trauma,15,10:46,Thursday,Accident,2,20,5,15,1,4,3,6
568-22-3902,F,40,Cardiology,7,14:42,Thursday,Chest Pain,2,23,10,15,1,4,7,1
277-68-8077,F,71,Neurology,10,15:21,Monday,Stroke,1,7,7,9,1,1,2,2
289-89-6208,F,49,Cardiology,9,23:28,Saturday,Chest Pain,2,14,6,11,1,6,7,1
293-41-9295,F,3,Cardiology,11,05:36,Saturday,Chest Pain,2,14,8,5,1,6,7,1
869-03-4231,F,28,Neurology,6,06:55,Sunday,Stroke,1,8,8,11,1,7,2,2
583-94-8865,F,40,General,23,05:18,Sunday,Allergic Reaction,3,14,7,5,1,7,8,6
607-39-9421,F,46,OB/GYN,5,16:58,Friday,Pregnancy Complication,2,15,3,12,1,5,12,6
158-65-6855,F,13,Neurology,6,14:54,Tuesday,Stroke,1,7,6,6,1,2,2,2
368-43-0999,F,21,Burn Unit,13,02:27,Wednesday,Burn Injury,3,14,7,14,1,3,5,6
620-29-6632,F,79,Orthopedics,31,11:16,Monday,Fracture,3,17,6,5,1,1,4,4
754-13-2622,F,61,Cardiology,14,21:14,Friday,Chest Pain,2,15,5,10,1,5,7,1
842-83-6859,F,17,Neurology,5,01:17,Friday,Stroke,1,21,4,5,1,5,2,2
199-35-7842,F,29,Pulmonology,15,23:30,Friday,Breathing Problem,2,24,3,6,1,5,6,6
646-66-3685,F,28,Neurology,12,14:01,Tuesday,Stroke,1,11,7,11,1,2,2,2
401-21-8466,F,10,General,18,02:30,Wednesday,Allergic Reaction,3,18,6,15,1,3,8,6
388-23-8484,F,36,Cardiology,3,18:03,Tuesday,Heart Attack,1,23,9,6,1,2,1,1
821-88-9428,F,3,Trauma,14,11:12,Saturday,Accident,2,7,8,7,1,6,3,6
546-51-7389,F,56,Trauma,9,18:41,Wednesday,Accident,2,15,9,15,1,3,3,6
814-67-6519,F,46,General,19,15:05,Friday,Allergic Reaction,3,19,10,15,1,5,8,6
328-39-9275,F,48,Cardiology,3,14:29,Thursday,Chest Pain,2,18,10,15,1,4,7,1
309-47-2018,F,35,General,13,21:30,Friday,Allergic Reaction,3,11,8,13,1,5,8,6
373-97-5103,F,66,General Surgery,12,09:54,Wednesday,Abdominal Pain,3,12,6,15,1,3,9,6
639-29-8268,F,74,General Surgery,17,10:29,Monday,Abdominal Pain,3,18,5,15,1,1,9,6
791-06-9701,F,73,Cardiology,3,14:21,Saturday,Heart Attack,1,11,9,6,1,6,1,1
230-34-4538,F,17,Neurology,15,23:41,Friday,Stroke,1,19,3,6,1,5,2,2
787-02-2075,F,31,Burn Unit,33,05:51,Friday,Burn Injury,3,24,5,8,1,5,5,6
669-25-6650,F,65,OB/GYN,9,19:40,Saturday,Pregnancy Complication,2,15,6,14,1,6,12,6
803-56-3133,F,22,Cardiology,3,00:16,Sunday,Chest Pain,2,18,10,6,1,7,7,1
895-09-2744,F,49,Pulmonology,11,10:19,Saturday,Breathing Problem,2,18,10,12,1,6,6,6
342-05-6538,F,66,General Medicine,57,18:44,Wednesday,Fever,4,21,6,13,1,3,10,5
340-55-3895,F,62,General Medicine,29,23:49,Sunday,Fever,4,7,10,5,1,7,10,5
639-02-4514,F,27,General,11,19:49,Monday,Allergic Reaction,3,11,6,12,1,1,8,6
335-70-9921,F,76,General Surgery,19,15:05,Sunday,Abdominal Pain,3,13,3,12,1,7,9,6
